"source_url","disposition","target_url","reason"
"/client-action-plan","REDIRECT_301","/plan","canonical product path"
"/guides/radon-fan-noise-troubleshooting","REDIRECT_301","/guides/radon-fan-noise","same intent and safer replacement"
"/radon-levels/alabama","GONE_410","","state hub retired"
"/radon-levels/alabama/autauga-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/baldwin-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/barbour-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/bibb-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/blount-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/bullock-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/butler-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/calhoun-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/chambers-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/cherokee-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/chilton-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/choctaw-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/clarke-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/clay-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/cleburne-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/coffee-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/colbert-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/conecuh-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/coosa-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/covington-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/crenshaw-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/cullman-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/dale-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/dallas-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/dekalb-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/elmore-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/escambia-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/etowah-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/fayette-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/franklin-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/geneva-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/greene-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/hale-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/henry-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/houston-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/jackson-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/jefferson-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/lamar-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/lauderdale-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/lawrence-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/lee-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/limestone-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/lowndes-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/macon-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/madison-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/marengo-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/marion-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/marshall-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/mobile-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/monroe-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/montgomery-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/morgan-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/perry-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/pickens-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/pike-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/randolph-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/russell-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/shelby-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/st-clair-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/sumter-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/talladega-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/tallapoosa-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/tuscaloosa-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/walker-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/washington-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/wilcox-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alabama/winston-county","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alaska","GONE_410","","state hub retired"
"/radon-levels/alaska/aleutians-east-borough","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alaska/aleutians-west-census-area","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alaska/anchorage-municipality","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alaska/bethel-census-area","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alaska/bristol-bay-borough","GONE_410","","no unique search evidence in controlled cohort"
"/radon-levels/alaska/denali-borough","GONE_410","","no unique search evidence in controlled cohort"
